direction	source	target	ligand	receptor	pathway_name	n_datasets	datasets	mean_prob	min_p
to_endothelial	CD8	endothelial	GZMA	F2R	PARs	3	GSE154778,GSE155698,GSE212966	0.000175985520777	0.0
to_endothelial	fibroblast_CAF	endothelial	LAMA4	ITGA6_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001752211389434	0.0
from_endothelial	endothelial	T_NK	COL6A2	CD44	COLLAGEN	3	GSE154778,GSE155698,GSE212966	0.0001747793477897	0.0
from_endothelial	endothelial	fibroblast_CAF	LAMA4	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001746056615317	0.0
to_endothelial	malignant_epithelial	endothelial	LAMB3	ITGA1_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001721130942571	0.0
from_endothelial	endothelial	epithelial	FN1	ITGA3_ITGB1	FN1	3	GSE154778,GSE155698,GSE212966	0.0001719655849976	0.0
from_endothelial	endothelial	malignant_epithelial	LAMB1	ITGA3_ITGB1	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001708751366316	0.0
to_endothelial	myeloid	endothelial	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0001698124180618	0.0
from_endothelial	endothelial	myeloid	CD99	CD99	CD99	3	GSE154778,GSE155698,GSE212966	0.0001698124180618	0.0
from_endothelial	endothelial	epithelial	LAMA4	CD44	LAMININ	3	GSE154778,GSE155698,GSE212966	0.0001691324705219	0.0
